English,Persian
goal,هدف
go away,گمشو
go back,برگرد
go back to,بازگشت به
go by,نوشته شده توسط
god,خداوند
go down,برو پایین
go into,رفتن به
gold,طلا
good,خوب
goodbye,خداحافظ
goods,محصولات
go off,در رفتن
go on,ادامه دادن
go on doing,رفتن در انجام
go out,برو بیرون
go out with,بیرون رفتن با
go over,مرور کردن
go round,دور
go through,رفتن را از طریق
go through with,از طریق رفتن با
go to,قابل اعتماد و متخصص
go up,برو بالا
govern,حکومت کردن
government,دولت
governor,فرماندار
go with,با
go without,بدون
grab,گرفتن
grade,مقطع تحصیلی
gradual,تدریجی
gradually,بتدریج
grain,غلات
gram,گرم
grammar,دستور زبان
grand,بزرگ
grandchild,نوه
granddaughter,نوه
grandfather,پدر بزرگ
grandmother,مادر بزرگ
grandparent,جد یا جده
grandson,نوه پسر
grant,اعطا کردن
grass,چمن
grateful,سپاسگزار
grave 1,قبر 1
gravely,شدت
great,عالی
greatly,تا حد زیادی
green,سبز
grey,خاکستری
grocery,خواربار
ground,زمین
group,گروه
grow,رشد
growth,رشد
grow up,رشد
guarantee,ضمانت
guard,نگهبان
guess,حدس بزن
guest,مهمان
guide,راهنما
guilty,گناهکار
gun,تفنگ
guy,مرد
habit,عادت داشتن
hair,مو
hairdresser,سلمان
half,نیم
hall,سالن
hammer,چکش
hand,دست
hand back,تماس دست
hand down,پایین دست
hand in,در دست
handle,رسیدگی
hand out,جزوه
hand over,تحویل دادن
hand round,دور دست
hang,آویزان شدن
hang about,در مورد قطع
hang about with,آویزان در مورد با
hang around,در اطراف آویزان
hang around with,ور رفتن با
hang on,صبر کن
hang on to,ادامه دادن به
hang up,قطع
happen,به وقوع پیوستن
happen to,اتفاق می افتد به
happily,با خوشحالی
happiness,شادی
happy,خوشحال
hard,سخت
hardly,به ندرت
harm,صدمه
harmful,زیان آور
harmless,بی ضرر
hat,کلاه
hate,نفرت
hatred,نفرت
have,دارند
have back,پشت
have on,بر
have to,باید
he,او
head,سر
headache,سردرد
heal,شفا دادن
health,سلامتی
healthy,سالم
hear,شنیدن
hear from,شنیدن از
hearing,شنوایی
hear of,شنیدن از
heart,قلب
heat,حرارت
heating,گرمایش
heat up,گرم کردن
heaven,بهشت
heavily,به شدت
heavy,سنگین
heel,پاشنه
height,ارتفاع
hell,جهنم
hello,سلام
help,کمک
helpful,مفید
help out,کمک به
hence,از این رو
her,او
here,اینجا
hero,قهرمان
hers,... او
herself,خودش
hesitate,دریغ
hi,سلام
hide,پنهان شدن
high,زیاد
highlight,برجسته
highly,بسیار
highway,بزرگراه
hill,تپه
him,به او
himself,خود
hip,مفصل ران
hire,استخدام
hire out,استخدام
his,خود
historical,تاریخی
history,تاریخ
hit,اصابت
hobby,سرگرمی
hold,نگه
hold back,تماس نگه
hold on,صبر کن
hold on to,نگه داشتن بر روی
hold out,حاکی بودن از
hold up,با اسلحه سرقت کردن
hole,سوراخ
holiday,روز تعطیل
hollow,توخالی
holy,مقدس
home,خانه
homework,مشق شب
honest,صادق
honestly,صادقانه
honour,افتخار و احترام
hook,قلاب
hope,امید
horizontal,افقی
horn,شیپور
horror,وحشت
horse,اسب
hospital,بیمارستان
host,میزبان
hot,داغ
hotel,هتل
hour,ساعت
house,خانه
household,خانواده
housing,مسکن
how,چگونه
however,با این حال
huge,بزرگ
human,انسان
humorous,فکاهی
humour,شوخ طبعی
hundred,صد
hundredth,یک صدم
hungry,گرسنه
hunt,شکار
hunting,صید
hurry,عجله
hurry up,عجله کن
hurt,صدمه
husband,شوهر
I,من
ice,یخ
ice cream,بستنی
idea,اندیشه
ideal,ایده آل
identify,شناسایی
identify with,شناسایی با
identity,هویت
i.e.,به عنوان مثال
if,اگر
ignore,چشم پوشی
ill,بیمار
illegal,غیر مجاز
illegally,به طور غیرقانونی
illness,بیماری
illustrate,نشان دادن
image,تصویر
imaginary,خیالی
imagination,خیال پردازی
imagine,تصور کن
immediate,فوری
immediately,بلافاصله. مستقیما
immoral,فاسد
impact,ضربه
impatient,بی صبر
implication,پیامد
imply,دلالت
import,وارد كردن
import,وارد كردن
importance,اهمیت
important,مهم
importantly,مهمتر
impose,تحمیل
impossible,غیر ممکن
impress,تاثیر گذاشتن
impressed,تحت تاثیر قرار
impression,احساس؛ عقیده؛ گمان
impressive,چشمگیر
improve,بهتر کردن
improvement,بهبود
in,که در
inability,عجز
inch,اینچ
incident,حادثه
include,عبارتند از
including,شامل
income,درآمد
increase,افزایش دادن
increasingly,به طور فزاینده
indeed,در واقع
independence,استقلال
independent,مستقل
independently,به طور مستقل
index,فهرست مطالب
indicate,نشان دادن
indication,نشانه
indirect,غیر مستقیم
indirectly,به طور غیر مستقیم
individual,شخصی
indoor,داخلی
indoors,در داخل خانه
industrial,صنعتی
industry,صنعت
inevitable,اجتناب ناپذیر
inevitably,به ناچار
infect,آلوده
infected,مبتلا شده
infection,عفونت
infectious,عفونی
influence,نفوذ
inform,اطلاع دادن
informal,دوستانه و غیر رسمی
information,اطلاعات
ingredient,جزء
initial,اولیه
initially,در ابتدا
initiative,ابتکار عمل
injure,آسیب
injured,مجروح
injury,صدمه
ink,جوهر
inner,داخلی
innocent,بی گناه
insect,حشره
insert,درج
inside,داخل
insist,اصرار
insist on,پافشاری روی
insist on doing,اصرار بر انجام
install,نصب
instance,نمونه، مثال
instead,بجای
instead of,بجای
institute,موسسه
institution,موسسه، نهاد
instruction,دستور العمل
instrument,ابزار
insult,توهین
insulting,توهین
insurance,بیمه
intelligence,هوش
intelligent,باهوش
intend,قصد داشتن - خواستن
intended,مورد نظر
intention,قصد
interest,علاقه
interested,علاقه مند
interesting,جالب هست
interior,داخلی
internal,درونی؛ داخلی
international,بین المللی
Internet,اینترنت
interpret,تفسیر
interpretation,تفسیر
interrupt,وقفه
interruption,وقفه
interval,فاصله
interview,مصاحبه
into,به
introduce,معرفی
introduction,معرفی
invent,اختراع کردن
invention,اختراع
invest,سرمایه گذاری
investigate,تحقیق کردن
investigation,تحقیق و بررسی
investment,سرمایه گذاری
invitation,دعوت
invite,دعوت
involve,شامل
involved,گرفتار
involvement,درگیری
iron,اهن
irritate,تحریک
irritated,تحریک
irritating,آزار دهنده
island,جزیره
issue,موضوع
it,آی تی
item,مورد
its,آن
itself,خود
jacket,ژاکت
jam,مربا
January,ژانویه
jealous,حسود
jeans,شلوار جین
jelly,ژله
jewellery,جواهرات
job,کار
join,پیوستن
join in,پیوستن به
joint,مشترک
jointly,به طور مشترک
joke,شوخی
journalist,روزنامه نگار
journey,سفر
joy,لذت
judge,قاضی
judgement,داوری
juice,آب میوه
July,جولای
jump,پرش
June,ژوئن
junior,تازهتر
just,فقط
justice,عدالت
justified,تعدیل شده
justify,توجیه
keen,تیز
keep,نگاه داشتن
keep out,دور شدن
keep out of,نگه داشتن از
keep up,ادامه دادن
keep up with,نگه دارید تا با
key,کلید
keyboard,صفحه کلید
kick,پا زدن
kid,بچه
kill,کشتن
killing,قتل
kilogram,کیلو
kilometre,کیلومتر
kind,نوع
kindly,محبت آمیز
kindness,مهربانی
king,پادشاه
kiss,بوسه
kitchen,اشپزخانه
knee,زانو
knife,چاقو
knit,بافتن
knitted,بافتنی
knitting,بافندگی
knock,در زدن
knock down,با ضربت بزمین کوبیدن
knock out,ناک اوت
knot,گره
know,دانستن
knowledge,دانش
lab,آزمایشگاه
label,برچسب
laboratory,آزمایشگاه
labour,کار یدی
lack,عدم
lacking,فاقد
lady,خانم
lake,دریاچه
lamp,لامپ
land,زمین
landscape,چشم انداز
lane,مسیر
language,زبان
large,بزرگ
largely,تا حد زیادی
last 1,آخرین 1
late,دیر
later,بعد
latest,آخرین
latter,دومی
laugh,خنده
laugh at,خندیدن به
launch,راه اندازی
law,قانون
lawyer,وکیل
lay,درازکشیدن
layer,لایه
lazy,تنبل
lead 1,سرب 1
leader,رهبر
leading 1,منجر 1
leaf,برگ
league,لیگ
lean,لاغر
learn,فرا گرفتن
least,کمترین
leather,چرم
leave,ترک کردن
leave out,ترک کردن
lecture,سخنرانی
left,ترک کرد
leg,پا
legal,مجاز
legally,قانونا
lemon,لیمو
lend,قرض دادن
length,طول
less,کمتر
lesson,درس
let,اجازه دهید
let down,اجازه دهید پایین
let off,اجازه
letter,حرف
level,مرحله
library,کتابخانه
licence,مجوز
license,مجوز
lid,دریچه
lie 1,دروغ 1
lie 2,دروغ 2
lie around,لم دادن
lie down,دراز کشیدن
life,زندگی
lift,بلند کردن
light,سبک
lightly,سبک
like,پسندیدن
likely,احتمال دارد
limit,حد
limited,محدود
limit to,محدودیتی برای
line,خط
link,ارتباط دادن
lip,لب
liquid,مایع
list,فهرست
listen,گوش کن
literature,ادبیات
litre,لیتر
little,مقدار کمی
live 1,زندگی می کنند 1
live 2,زندگی می کنند 2
lively,زنده
live on,در زندگی می کنند
live through,در طول زندگی
live together,با هم زندگی می کنند
living,زندگي كردن
load,بار
loan,وام
local,محلی
locally,به صورت محلی
locate,قرار دادن
located,واقع شده
location,محل
lock,قفل کردن
lock up,زندان کردن
logic,منطق
logical,منطقی
lonely,تنها
long,طولانی
look,نگاه
look after,توجه داشتن به
look at,نگاه
look down on,نگاه کردن در
look forward to,نگاه به جلو به
look into,نگاه به
look on,نگاه در
look on with,نگاه با
look out,مراقب باش
look out for,نگاه کردن به
look round,به دور و اطراف نگاه کن
look through,نگاه را از طریق
look up,جستجو
look up to,نگاه کردن به
loose,از دست
loosely,آزادانه
lord,خداوند
lorry,کامیون
lose,از دست دادن
loss,ضرر - زیان
lost,کم شده
lot,بسیار
loud,با صدای بلند
loudly,بلند
love,عشق
lovely,دوست داشتني
lover,عاشق
low,کم
loyal,وفادار
luck,شانس
lucky,خوش شانس
luggage,بار مسافر
lump,توده
lunch,ناهار
lung,ریه
machine,دستگاه
machinery,دستگاه
mad,دیوانه
magazine,مجله
magic,شعبده بازي
mail,پست
main,اصلی
mainly,به طور عمده
maintain,حفظ
major,عمده
majority,اکثریت
make,را
make into,تبدیل به
make up,آرایش
make-up,آرایش
make up for,آماده شدن برای
male,نر
mall,مرکز خرید
man,مرد
manage,مدیریت
management,مدیریت
manager,مدیر
manner,شیوه
manufacture,تولید
manufacturer,سازنده
manufacturing,تولید
many,زیاد
map,نقشه
march,مارس
March,مارس
mark,علامت
market,بازار
marketing,بازار یابی
marriage,ازدواج
married,متاهل
marry,ازدواج
mass,جرم
massive,عظیم
master,استاد
match,همخوانی داشتن
matching,تطابق
match up,مطابقت کردن
mate,رفیق
material,ماده
mathematics,ریاضیات
matter,موضوع
maximum,بیشترین
may,ممکن است
May,ممکن است
maybe,شاید
mayor,شهردار
me,به من
meal,وعده غذایی
mean,منظور داشتن
meaning,معنای
means,به معنای
meanwhile,در همین حال
measure,اندازه گرفتن
measurement,اندازه گیری
meat,گوشت
media,رسانه ها
medical,پزشکی
medicine,پزشکی
medium,متوسط
meet,ملاقات
meeting,ملاقات
meet up,ملاقات
meet with,ملاقات با
melt,ذوب شدن
member,عضو
membership,عضویت
memory,حافظه
mental,روانی
mentally,ذهنی
mention,اشاره
menu,منو
mere,محض
merely,صرفا - فقط
mess,بهم ریختگی
message,پیام
metal,فلز
method,روش
metre,متر
mid-,اواسط
midday,ظهر
middle,وسط
midnight,نیمه شب
might,ممکن
mild,خفیف
mile,مایل
military,نظامی
milk,شیر
milligram,یک هزارم گرم
millimetre,میلیمتر
million,میلیون
millionth,میلیونیوم
mind,ذهن
mine,مال خودم
mineral,معدنی
minimum,کمترین
minister,وزیر
ministry,وزارت
minor,جزئی
minority,اقلیت
minute 1,دقیقه 1
mirror,اینه
miss,از دست دادن
missing,گم
miss out,خانم به خارج
mistake,اشتباه
mistake for,اشتباه
mistaken,اشتباه
mix,مخلوط کردن
mixed,مخلوط
mixture,مخلوط
mix up,مغشوش کردن
mobile,سیار
mobile phone,تلفن همراه
model,مدل
modern,نوین
mom,مادر
moment,لحظه
Monday,دوشنبه
money,پول
monitor,مانیتور
month,ماه
mood,حالت
moon,ماه
moral,اخلاقی
morally,از نظر اخلاقی
more,بیشتر
moreover,علاوه بر این
morning,صبح
most,اکثر
mostly,اغلب
mother,مادر
motion,حرکت - جنبش
motor,موتور
motorbike,موتور سیکلت
motorcycle,موتورسیکلت
mount,کوه
mountain,کوه
mouse,ماوس
mouth,دهان
move,حرکت
move in,حرکت در
movement,جنبش
move out,حرکت در خارج
move over,حرکت بیش از
movie,فیلم سینما
movie theater,سینما
moving,در حال حرکت
Mr,آقای
Mrs,خانم
Ms,اماس
much,بسیار
mud,گل و لای
multiply,تکثیر کردن
mum,مادر
murder,آدم کشی
muscle,ماهیچه
museum,موزه
music,موسیقی
musical,موسیقی
musician,نوازنده
must,باید
my,من
myself,خودم
mysterious,اسرار امیز
mystery,راز
nail,ناخن - میخ
naked,برهنه
name,نام
narrow,محدود، تنگ
nation,ملت
national,ملی
natural,طبیعی
naturally,به طور طبیعی
nature,طبیعت
navy,نیروی دریایی
near,نزدیک
nearby,نزدیک
nearly,تقریبا
neat,شسته و رفته
neatly,منظمی
necessarily,لزوما
necessary,لازم
neck,گردن
need,نیاز
needle,سوزن
negative,منفی
neighbour,همسایه
neighbourhood,همسایگی
neither,نه نه
nephew,پسر خواهر یا برادر
nerve,عصب
nervous,عصبی
nervously,عصبی
nest,لانه
net,خالص
network,شبکه
never,هرگز
nevertheless,با این اوصاف
new,جدید
newly,اخیرا
news,اخبار
newspaper,روزنامه
next,بعد
next to,جنب
nice,خوب
nicely,ظریفانه
niece,دختر برادر یا خواهر و غیره
night,شب
nine,نه
nineteen,نوزده
nineteenth,نوزدهمین
ninetieth,نودمین
ninety,نود
ninth,نهمین
no,خیر
nobody,هيچ كس
noise,سر و صدا
noisily,noisily در
noisy,پر سر و صدا
non-,غیر-
none,هیچ یک
nonsense,مزخرف
no one,هیچکس
nor,و نه
normal,طبیعی
normally,به طور معمول
north,شمال
northern,شمالی
nose,بینی
not,نه
note,توجه داشته باشید
note down,توجه داشته باشید پایین
nothing,هیچ چیزی
notice,اطلاع
noticeable,قابل توجه
novel,رمان
November,نوامبر
now,اکنون
nowhere,هیچ جایی
nuclear,هسته ای
number,عدد
nurse,پرستار
nut,مهره
obey,اطاعت
object,هدف - شی
object,هدف - شی
objective,هدف، واقعگرایانه
observation,مشاهده
observe,رعایت کنید
obtain,به دست آوردن
obvious,واضح
obviously,به طور مشخص
occasion,مناسبت
occasionally,گاه و بیگاه
occupied,مشغول
occupy,اشغال
occur,روی دادن
occur to,رخ می دهد به
ocean,اقیانوس
o’clock,ساعت
October,اکتبر
odd,فرد
oddly,عجیب
of,از
off,خاموش
offence,توهین
offend,اذیت کردن
offense,توهین
offensive,حمله
offer,پیشنهاد
office,دفتر
officer,افسر
official,رسمی
officially,رسما
often,غالبا
oh,اوه
oil,نفت
OK,خوب
old,قدیمی
old-fashioned,سبک قدیمی
on,بر
once,یک بار
one,یکی
one another,یکی دیگر
onion,پیاز
online,برخط
only,فقط
onto,به سوی
open,باز کن
opening,افتتاح
openly,بی پرده
open up,باز کن
operate,کار
operation,عمل
opinion,نظر
opponent,حریف
opportunity,فرصت
oppose,مخالفت
opposed,مخالف
opposing,مخالف
opposite,مقابل
opposition,مخالفت
option,گزینه
or,یا
orange,نارنجی
order,سفارش
ordinary,عادی
organ,عضو
organization,سازمان
organize,سازمان دادن
organized,سازمان یافته
origin,اصل و نسب
original,اصلی
originally,در اصل
other,دیگر
otherwise,در غیر این صورت
ought to,باید
our,ما
ours,مال ما
ourselves,خودمان
out,خارج
outdoor,خارج از منزل
outdoors,بیرون از خانه
outer,بیرونی
outline,طرح کلی
output,تولید
outside,خارج از
outside,خارج از
outstanding,برجسته
oven,فر
over,بر فراز
overall,به طور کلی
overall,به طور کلی
overcome,غلبه بر
owe,مدیون
own,خود
owner,مالک
own up,خود را تا
pace 1,سرعت 1
pack,بسته
package,بسته
packaging,بسته بندی
packet,بسته
pack up,بسته
page,صفحه
pain,درد
painful,دردناک
paint,رنگ
painter,نقاش
painting,رنگ آمیزی
pair,جفت
palace,قصر
pale,رنگ پریده
pan 1,حرکت 1
panel,تابلو
pants,شلوار
paper,کاغذ
parallel,موازی
parent,والدین
park,پارک
parliament,مجلس
part,بخش
particular,خاص
particularly,به ویژه
partly,تاحدی
partner,شریک
partnership,شراکت
party,مهمانی - جشن
pass,عبور
passage,عبور
pass away,فوت شدن
pass by,نوشته شده توسط:
passenger,مسافر
passing,عبور
pass on,گذشت
pass out,مردن
passport,گذرنامه
pass round,تصویب دور
pass through,عبور از
past,گذشته
path,مسیر
patience,صبر
patient,صبور
pattern,الگو
pause,توقف
pay,پرداخت
pay back,تماس پرداخت
payment,پرداخت
pay out,پرداخت
pay up,تمام و کمال پرداختن
peace,صلح
peaceful,صلح آمیز
peak,اوج
pen,خودکار
pencil,مداد
penny,شاهی
pension 1,حقوق بازنشستگی 1
people,مردم
pepper,فلفل
per,مطابق
per cent,درصد
perfect,کامل
perfectly,کاملا
perform,انجام دادن
performance,کارایی
performer,بازیگر
perhaps,شاید
period,عادت زنانه
permanent,دائمي
permanently,به طور دائم
permission,اجازه
permit,اجازه
person,شخص
personal,شخصی
personality,شخصیت
personally,شخصا
persuade,متقاعد کردن
pet,حیوان خانگی
petrol,بنزین
phase,فاز
philosophy,فلسفه
phone,تلفن
photo,عکس
photocopy,فتوکپی
photograph,عکس
photographer,عکاس
photography,عکاسی
phrase,عبارت
physical,فیزیکی
physically,از لحاظ جسمی
physics,فیزیک
piano,پیانو
pick,انتخاب
pick up,سوار کردن
picture,تصویر
piece,قطعه
pig,خوک
pile,توده
pile up,انباشته شدن
pill,قرص
pilot,خلبان
pin,سنجاق
pink,رنگ صورتی
pint,پاینت
pipe,لوله
pitch,گام صدا
pity,ترحم
place,محل
plain,جلگه
plan,طرح
plane,سطح
planet,سیاره
planning,برنامه ریزی
plant,گیاه
plastic,پلاستیک
plate,صفحه
platform,سکو
play,بازی
play about,بازی در مورد
player,بازیکن
play with,بازی با
pleasant,دلپذیر
pleasantly,خوش
please,لطفا
pleased,راضی
pleasing,خوش
pleasure,لذت
plenty,فراوانی
plot,طرح
plug,دو شاخه
plug in,به برق وصل کردن
plus 1,به علاوه 1
p.m.,بعد از ظهر
pocket,جیب
poem,شعر
poetry,شعر
point,نقطه
pointed,خاطر نشان
point out,اشاره
poison,سم
poisonous,سمی
pole,قطب
police,پلیس
policy,خط مشی
polish,لهستانی
polite,با ادب
politely,مودبانه
political,سیاسی
politically,سیاسی
politician,سیاستمدار
politics,سیاست
pollution,الودگی
pool,استخر
poor,فقیر
pop,ترکیدن
popular,محبوب
population,جمعیت
port,بندر
pose,ژست
position,موقعیت
positive,مثبت
possess,داشتن
possession,مالکیت
possibility,امکان پذیری
possible,ممکن
possibly,احتمالا
post,پست
post office,اداره پست
pot,گلدان
potato,سیب زمینی
potential,پتانسیل
potentially,به طور بالقوه
pound,پوند
pour,ریختن
powder,پودر
power,قدرت
powerful,قوی
practical,کاربردی
practically,عملا
practice,تمرین
practise,تمرین
praise,ستایش
pray,نماز خواندن
prayer,نماز
precise,دقیق
precisely,دقیقا
predict,پیش بینی
prefer,ترجیح می دهند
preference,ترجیح
pregnant,حامله
premises,محل
preparation,آماده سازی
prepare,آماده کردن
prepared,آماده شده
presence,حضور
present,حاضر
present,حاضر
presentation,ارائه
preserve,حفظ
president,رئيس جمهور
press,مطبوعات
pressure,فشار
presumably,احتمالا
pretend,وانمود کردن
pretty,بسیار
prevent,جلوگیری کردن
previous,قبلی
previously,قبلا
price,قیمت
pride,غرور
priest,کشیش
primarily,در درجه اول
primary,اولیه
prime minister,نخست وزیر
prince,شاهزاده
princess,شاهزاده
principle,اصل
print,چاپ
printer,چاپگر
printing,چاپ
print off,چاپ کردن
prior,قبلی
priority,اولویت
prison,زندان
prisoner,زندانی
private,خصوصی
privately,خصوصی
prize,جایزه
probable,احتمالی
probably,شاید
problem,مسئله
procedure,روش
proceed,ادامه
process 1,فرآیند 1
produce,تولید کردن
producer,تهیه کننده
product,تولید - محصول
production,تولید
profession,حرفه
professional,حرفه ای
professor,استاد
profit,سود
program,برنامه
programme,برنامه
progress,پیش رفتن
progress,پیش رفتن
project,پروژه
project,پروژه
promise,وعده
promote,ترویج
promotion,ترویج
prompt,سریع
promptly,بی درنگ
pronounce,تلفظ
pronunciation,تلفظ
proof,اثبات
proper,مناسب
properly,به درستی
property,ویژگی
proportion,تناسب، قسمت
proposal,پیشنهاد
propose,پیشنهاد
prospect,چشم انداز
protect,محافظت
protection,حفاظت
protest,اعتراض
protest,اعتراض
proud,مغرور
proudly,با افتخار
prove,ثابت كردن
provide,ارائه
provided,ارائه
providing,فراهم آوردن
pub,میخانه
public,عمومی
publication,انتشار
publicity,تبلیغات
publicly,عمومی
publish,انتشار
publishing,چاپ و نشر
pull,کشیدن
pull apart,از هم جدا
pull down,پایین کشیدن
pull in,متوقف شدن
pull off,نیروی کشش برقی
pull out,بکش بیرون
pull over,پلیور
pull through,در تنگنا کمک یافتن
pull together,همکاری کردن
pull up,جلو گیری کردن
punch,مشت
punish,تنبیه کردن
punishment,مجازات
pupil,شاگرد
purchase,خرید
pure,خالص
purely,صرفا
purple,رنگ بنفش
purpose,هدف
pursue,دنبال کردن
push,فشار دادن
push about,فشار مورد
push forward,فشار رو به جلو
put,قرار دادن
put away,کنار گذاردن
put back,بگذار سر جاش
put down,از بین بردن
put forward,نامزد
put in,در
put off,از سر باز کردن
put on,پوشیدن
put out,خاموش کردن
put through,واداشتن
put together,کنار هم قرار دادن
put up,قرار داده تا
put up with,قرار داده تا با
qualification,صلاحیت
qualified,واجد شرایط
qualify,واجد شرایط شدن
quality,کیفیت
quantity,تعداد
quarter,ربع
queen,ملکه
question,سوال
quick,سریع
quickly,به سرعت
quiet,ساکت
quietly,بی سر و صدا
quit,ترک
quite,کاملا
quote,نقل قول
race,مسابقه
racing,مسابقه
radio,رادیو
rail,ریل
railroad,راه آهن
railway,راه آهن
rain,باران
raise,افزایش
range,دامنه
rank,رتبه
rapid,سریع
rapidly,به طور سریع
rare,نادر
rarely,به ندرت
rate,نرخ
rather,نسبتا
raw,خام
re-,دوباره
reach,رسیدن
react,واکنش نشان دادن
reaction,واکنش
read,خواندن
reader,خواننده
reading,قرائت
read out,به عنوان خوانده شده
read over,خواندن بیش از
ready,آماده
real,واقعی
realistic,واقع بین
reality,واقعیت
realize,پی بردن
really,واقعا
rear,عقب
reason,دلیل
reasonable,معقول
reasonably,منطقی
recall,به خاطر آوردن
receipt,اعلام وصول
receive,دريافت كردن
recent,اخیر
recently,به تازگی
reception,پذیرش
reckon,روی چیزی حساب کردن
reckon on,روش حساب کن
recognition,به رسمیت شناختن
recognize,تشخیص
recommend,توصیه
record,رکورد
record,رکورد
recording,ضبط
recover,بهبود یافتن
red,قرمز
reduce,كاهش دادن
reduction,کاهش
refer,مراجعه کنید
reference,مرجع
refer to,برای اشاره
reflect,منعکس کردن
reform,اصلاحات
refrigerator,یخچال
refusal,امتناع
refuse 1,امتناع 1
regard,توجه
regarding,با توجه
region,منطقه
regional,منطقه ای
register,ثبت نام
regret,پشیمان شدن. پشیمانی
regular,منظم
regularly,به طور منظم
regulation,مقررات
reject,رد کردن
relate,مربوط بودن
related,مربوط
relate to,مربوط به
relation,رابطه
relationship,ارتباط
relative,نسبت فامیلی
relatively,به طور نسبی
relax,آروم باش
relaxed,آرام
relaxing,آرامش بخش
release,رهایی
relevant,مربوط
relief,تسکین
religion,دین
religious,دینی
rely,تکیه
rely on,وابسته به
remain,ماندن
remaining,باقی مانده
remains,باقی
remark,اظهار
remarkable,قابل توجه
remarkably,قابل ملاحظه ای
remember,یاد آوردن
remind,به یاد آوردن
remind of,یادآوری
remote,از راه دور
removal,برداشت
remove,برداشتن
rent,اجاره
rented,اجاره
repair,تعمیر
repeat,تکرار
repeated,مکرر
repeatedly,مکررا
replace,جایگزین کردن
reply,پاسخ
report,گزارش
represent,نشان دادن
representative,نماینده
reproduce,تکثیر
reputation,شهرت، آبرو
request,درخواست
require,نیاز
requirement,نیاز
rescue,نجات
research,پژوهش
reservation,رزرو
reserve,ذخیره
resident,ساکن
resist,مقاومت کردن
resistance,مقاومت
resolve,برطرف کردن
resort,رفت و آمد مکرر
resort to,توسل به
resource,منابع
respect,توجه
respond,پاسخ دادن
response,واکنش
responsibility,مسئولیت
responsible,مسئوليت
rest,باقی مانده
restaurant,رستوران
restore,بازگرداندن
restrict,محدود کردن
restricted,محصور
restriction,محدودیت
result,نتیجه
result in,در نتیجه در
retain,حفظ
retire,بازنشسته
retired,بازنشسته
retirement,بازنشستگی
return,برگشت
reveal,فاش کردن
reverse,معکوس
review,مرور
revise,تجدید نظر کردن
revision,تجدید نظر
revolution,انقلاب
reward,جایزه
rhythm,ریتم
rice,برنج
rich,ثروتمند
rid,خلاص شدن از شر
ride,سوار شدن
rider,سوار
ridiculous,مسخره - مضحک
riding,سواری
right,درست
rightly,درستی
ring 1,حلقه 1
ring 2,حلقه 2
ring back,حلقه پشت
rise,صعود کردن
risk,خطر
rival,رقیب
river,رودخانه
road,جاده
rob,غارت
rock,سنگ
role,نقش
roll,نورد
romantic,رومانتیک
roof,سقف
room,اتاق
root,ریشه
rope,طناب
rough,خشن
roughly,تقریبا
round,گرد
rounded,گرد شده
route,مسیر
routine,روال
row 1,ردیف 1
royal,سلطنتی
rub,مالیدن
rubber,لاستیک
rubbish,زباله
rude,بی ادب
rudely,گستاخانه
ruin,تباهی
ruined,خراب
rule,قانون
rule out,رد
ruler,خط کش
rumour,شایعه
run,اجرا کن
run after,پس از اجرا
run away,فرار کن
runner,دونده
running,در حال اجرا
run out,اجرا
run over,زیر گرفتن
run through,رفتن
rural,روستایی
rush,هجوم بردن
sack,کیسه
sad,غمگین
sadly,با ناراحتی
sadness,غمگینی
safe,بی خطر
safely,بدون خطر
safety,ایمنی
sail,سفر دریایی
sailing,کشتیرانی
sailor,ملوان
salad,سالاد
salary,حقوق
sale,فروش
salt,نمک
salty,شور
same,یکسان
sample,نمونه
sand,شن
satisfaction,رضایت
satisfied,راضی
satisfy,قانع کردن
satisfying,رضایت بخش
Saturday,شنبه
sauce,سس
save,صرفه جویی
saving,صرفه جویی در
say,گفتن
scale,مقیاس
scare,ترساندن
scared,ترسیده
scare off,ترساندن
scene,صحنه
schedule,برنامه
scheme,طرح
school,مدرسه
science,علوم پایه
scientific,علمی
scientist,دانشمند
scissors,قیچی
score,نمره
scratch,خراش
scream,فریاد
screen,پرده
screw,پیچ
sea,دریا
seal,مهر
seal off,مهر و موم کردن
search,جستجو کردن
season,فصل
seat,صندلی
second 1,دوم 1
secondary,ثانوی
secret,راز
secretary,دبیر، منشی
secretly,محرمانه
section,بخش
sector,بخش
secure,امن است
security,امنیت
see,دیدن
see about,مشاهده مورد
seed,دانه
seek,به دنبال
seem,به نظر می رسد
see to,به
select,انتخاب کنید
selection,انتخاب
self,خود
self-,خود-
sell,فروش
sell off,ارزان فروختن
sell out,خیانت کردن
senate,مجلس سنا
senator,عضو مجلس سنا
send,ارسال
send for,ارسال برای
send off,ارسال کردن
senior,ارشد
sense,احساس، مفهوم
sensible,معقول
sensitive,حساس
sentence,جمله
separate,جداگانه، مجزا
separate,جداگانه، مجزا
separated,جدا از هم
separately,بصورت جداگانه
separation,جدایش، جدایی
September,سپتامبر
series,سلسله
serious,جدی
seriously,به طور جدی
servant,خدمتگزار
serve,خدمت
service,سرویس
session,جلسه
set,تنظیم
set off,عازم شدن
set out,مجموعه ای از
settle,حل کن
settle down,حل و فصل کردن
set up,برپایی
seven,هفت
seventeen,هفده
seventh,هفتم
seventieth,هفتادمین
seventy,هفتاد
several,چند
severe,شدید
severely,به شدت، شدیدا
sew,دوختن
sewing,دوزندگی
sex,رابطه ی جنسی
sexual,جنسی
